SEXO,EDAD_TRAMO,COMUNA,n,peso_medio,costo_medio,dias_medio,z_peso_medio,z_costo_medio,score_perfil
HOMBRE,65+,ZAPALLAR,45,10.543897777777778,281.11155777777776,9.844444444444445,1.8219172273156101,1.6865804446553534,3.5084976719709635
MUJER,65+,ANTUCO,52,7.021973076923077,419.90963269230764,7.788461538461538,0.46580985851337586,3.029087138223323,3.494896996736699
MUJER,0-17,SANTA JUANA,55,7.426209090909091,400.9854490909091,7.709090909090909,0.6214598180848121,2.8460453837117328,3.467505201796545
HOMBRE,40-64,SANTIAGO,2249,10.894566651845265,261.7777357936861,9.938194753223655,1.9569413077614803,1.4995765150844431,3.4565178228459237
HOMBRE,0-17,MALLOA,40,8.4508075,355.2120725,6.65,1.0159786027408362,2.4033082312091225,3.4192868339499585
HOMBRE,65+,QUINTERO,244,12.701347131147541,185.22895614754097,7.557377049180328,2.652637136009948,0.759168198018863,3.411805334028811
HOMBRE,0-17,FRESIA,68,9.359285294117646,314.5170558823529,7.985294117647059,1.3657854656465531,2.009690868448915,3.375476334095468
HOMBRE,65+,ISLA DE PASCUA,30,9.277433333333333,317.4462633333333,15.333333333333334,1.3342685944472397,2.0380232542706342,3.372291848717874
MUJER,0-17,MELIPILLA,726,6.085193112947659,443.1617709366392,8.287878787878787,0.1051053233525129,3.253990482538476,3.3590958058909886
MUJER,65+,ANCUD,145,11.48444275862069,223.97646896551723,6.358620689655172,2.184071471811949,1.1339485784331906,3.3180200502451394
HOMBRE,65+,PEÑAFLOR,454,11.20643039647577,233.95390286343613,7.671806167400881,2.0770235804043486,1.2304540364579968,3.3074776168623456
HOMBRE,65+,EL BOSQUE,1134,10.178868518518518,272.88323959435627,11.423280423280424,1.681363720254607,1.6069930855017573,3.288356805756364
HOMBRE,65+,COCHAMÓ,45,10.284193333333333,268.0424733333333,13.977777777777778,1.7219187490016548,1.5601713906661254,3.28209013966778
HOMBRE,65+,SALAMANCA,95,12.933944210526315,155.0960094736842,8.136842105263158,2.742197998350613,0.4677111109411765,3.2099091092917895
MUJER,0-17,LEBU,102,7.716621568627452,362.55339803921566,6.009803921568627,0.7332823397106745,2.4743162670347463,3.207598606745421
MUJER,65+,TIRÚA,35,11.944317142857143,193.25076285714286,8.8,2.3611448320218082,0.8367581012562142,3.1979029332780224
HOMBRE,65+,INDEPENDENCIA,426,9.407407276995306,293.7952436619718,13.415492957746478,1.384314702108063,1.8092617801791326,3.1935764822871957
HOMBRE,65+,CABRERO,188,11.132276063829789,223.4155132978723,8.335106382978724,2.048470659637637,1.128522806216451,3.176993465854088
MUJER,0-17,TALCA,811,7.1357464858199755,381.58224364981504,10.25154130702836,0.5096179950534305,2.658370351494003,3.1679883465474337
MUJER,40-64,RENGO,173,10.49210809248555,247.3304057803468,7.583815028901734,1.8019757521796724,1.359836556450024,3.1618123086296963
MUJER,40-64,CORRAL,45,9.462251111111112,285.75365111111114,9.066666666666666,1.4054321688045437,1.7314805009133736,3.1369126697179173
MUJER,65+,RÍO HURTADO,52,9.341561538461537,289.7637634615385,8.807692307692308,1.3589609825330253,1.7702678016430373,3.1292287841760626
MUJER,65+,PICHIDEGUA,49,11.227793877551019,214.6590081632653,7.244897959183674,2.0852495297275637,1.0438266260805866,3.1290761558081504
MUJER,40-64,PEUMO,34,10.500626470588236,241.78221470588232,10.264705882352942,1.805255730116876,1.3061723852484473,3.111428115365323
HOMBRE,0-17,ANCUD,85,10.107744705882354,256.3457647058824,9.905882352941177,1.6539776928390277,1.4470364668947637,3.1010141597337917
HOMBRE,18-39,SAN MIGUEL,303,10.030993729372936,258.7389798679868,9.844884488448844,1.6244249415317866,1.4701845355999819,3.0946094771317685
HOMBRE,40-64,ANDACOLLO,76,10.261744736842106,245.08690394736843,7.921052631578948,1.713274978987596,1.3381365708438824,3.0514115498314784
HOMBRE,65+,NACIMIENTO,220,11.277838636363636,204.36666272727274,7.109090909090909,2.1045191257468234,0.9442752263306808,3.048794352077504
HOMBRE,40-64,LO BARNECHEA,212,8.814208018867925,300.83451792452826,8.34433962264151,1.1559049678172255,1.8773482635194967,3.0332532313367224
HOMBRE,40-64,CON CON,192,10.987656770833333,213.36747812500002,8.239583333333334,1.9927854007063859,1.031334466355872,3.0241198670622578
HOMBRE,40-64,NUEVA IMPERIAL,453,8.136447461368654,325.63509426048563,10.975717439293598,0.8949351389945875,2.1172286779695444,3.012163816964132
HOMBRE,40-64,CABRERO,252,10.750217857142857,220.2288107142857,6.4603174603174605,1.9013602034504906,1.0976998315353552,2.999060034985846
HOMBRE,40-64,LA CISTERNA,377,10.170624137931034,241.39824217506631,10.13527851458886,1.6781892443030952,1.302458459870994,2.980647704174089
HOMBRE,40-64,LAMPA,391,9.657891815856779,261.60576368286445,9.826086956521738,1.4807630812680828,1.497913136755693,2.978676218023776
HOMBRE,65+,SAN VICENTE,214,11.331334112149532,194.42441121495327,5.859813084112149,2.125117410796254,0.848110065447546,2.9732274762437996
